"Account","Account"
"Last Sync","Last Sync"
"Never","Never"
"Websites","Websites"
"Website(s)","Website(s)"
"Review Sources","Review Sources"
"Source(s)","Source(s)"
"Reviews","Reviews"
"Review(s)","Review(s)"
"Connect","Connect"
"Sources","Sources"
"Show last %1 %2 log records","Show last %1 %2 log records"
"Sync All","Sync All"
"Log is empty","Log is empty"
"The review has been deleted.","The review has been deleted."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Account disconnected successfully, and data flushed.","Account disconnected successfully, and data flushed."
"An error occurred: %1","An error occurred: %1"
"Connected to %1","Connected to %1"
"Required params missing in return","Required params missing in return"
"Manual","Manual"
"Top right","Top right"
"Top left","Top left"
"Bottom right","Bottom right"
"Bottom left","Bottom left"
"Sticky on right","Sticky on right"
"Sticky on left","Sticky on left"
"Popup","Popup"
"Slideout","Slideout"
"Always","Always"
"Slide down (hide on sticky options)","Slide down (hide on sticky options)"
"Slide right (hide on sticky options)","Slide right (hide on sticky options)"
"Latest Review","Latest Review"
"Max Rating","Max Rating"
"Small","Small"
"Medium","Medium"
"Large","Large"
"Invalid entity ID.","Invalid entity ID."
"No such entity with ID %1.","No such entity with ID %1."
"Invalid UUID.","Invalid UUID."
"No such entity with UUID %1.","No such entity with UUID %1."
"Could not save the entity: %1","Could not save the entity: %1"
"Could not delete the entity: %1","Could not delete the entity: %1"
"Module not enabled!","Module not enabled!"
"error' 'Could not connect!","error' 'Could not connect!"
"Today","Today"
"Yesterday","Yesterday"
"This week","This week"
"Last week","Last week"
"%1 days ago","%1 days ago"
"Delete","Delete"
"All periods","All periods"
"Older","Older"
"Setup Account","Setup Account"
"label","label"
"value","value"
"actionId","actionId"
"Disconnect Account","Disconnect Account"
"Centralize Your Shopreviews","Centralize Your Shopreviews"
"[shopreviews:header:text]","[shopreviews:header:text]"
"Website","Website"
"Support","Support"
"Docs","Docs"
"Loading...","Loading..."
"<span>based on</span> <b class=""count"">%1 %2</b>","<span>based on</span> <b class=""count"">%1 %2</b>"
"%1 <span>/ %2</span>","%1 <span>/ %2</span>"
"Based on <b>%1 %2</b> from <b>%3 %4</b>","Based on <b>%1 %2</b> from <b>%3 %4</b>"
"<b>From:</b> <i>%1</i>","<b>From:</b> <i>%1</i>"
"<b>%1 %2</b> from <b>%3 %4</b>","<b>%1 %2</b> from <b>%3 %4</b>"
"Reviews Data","Reviews Data"
"ID","ID"
"Name","Name"
"Rating","Rating"
"Platform","Platform"
"Date","Date"
"Description","Description"
"Filter Reviews","Filter Reviews"
"No reviews data available","No reviews data available"
"Page","Page"
"Previous","Previous"
"Next","Next"
"Filter on review:","Filter on review:"
"All Reviews","All Reviews"
"Filter on year:","Filter on year:"
"Apply filters","Apply filters"
"Close window","Close window"
"download as .txt file","download as .txt file"
"Last 100 debug log records","Last 100 debug log records"
"Last 100 error log records","Last 100 error log records"
"Failed to load data. Disable the ad blocker. If it didn't help, please contact us.","Failed to load data. Disable the ad blocker. If it didn't help, please contact us."
"More","More"
"Less","Less"
"Shopreviews","Shopreviews"
"Data","Data"
"Config","Config"
"Settings","Settings"
"Shopreviews.com","Shopreviews.com"
"General","General"
"Branding","Branding"
"Debug & Logging","Debug & Logging"
"Logging","Logging"
"Debug Mode","Debug Mode"
"Frontend","Frontend"
"Enable","Enable"
"Filters","Filters"
"Rating Filter","Rating Filter"
"Years Filter","Years Filter"
"Sources Filter","Sources Filter"
"Layout","Layout"
"Title","Title"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Add Google structured data","Add Google structured data"
"Reviews per page","Reviews per page"
"Version","Version"
"Enabled","Enabled"
"Website(s)","Website(s)"
"Show Stars","Show Stars"
"Enable Modal Link","Enable Modal Link"
"Modal Type","Modal Type"
"Maximum Number of Reviews","Maximum Number of Reviews"
"Show Review Summary","Show Review Summary"
"Show Sources","Show Sources"
"Full width","Full width"
"Yes","Yes"
"No","No"
"Autoplay","Autoplay"
"Show Arrows","Show Arrows"
"Show Dots","Show Dots"
"Total Number of Reviews","Total Number of Reviews"
"Review text length","Review text length"
"Sort by","Sort by"
"Badge Location","Badge Location"
"Show Score","Show Score"
"Shopreviews.com - Platforms","Shopreviews.com - Platforms"
"Shopreviews.com - Reviews","Shopreviews.com - Reviews"
"Shopreviews.com - Sources","Shopreviews.com - Sources"
"Shopreviews.com - Websites","Shopreviews.com - Websites"
"Logo","Logo"
"Logo Icon","Logo Icon"
"Is Active","Is Active"
"Updated At","Updated At"
"Delete items","Delete items"
"Are you sure you want to delete selected reviews?","Are you sure you want to delete selected reviews?"
"UUID","UUID"
"Review Body","Review Body"
"Review Date","Review Date"
"Url","Url"
"Avg Rating","Avg Rating"
"Created At","Created At"
"Last Synced","Last Synced"
"Next Sync","Next Sync"
"Details","Details"
